This is an important test 
 Block 1 ACC 
t=24393 x=0.973943, y=0.168940, z=0.376385 
t=24403 x=1.036628, y=0.059155, z=0.276982 
t=24413 x=1.045574, y=0.072856, z=0.009454 
t=24423 x=1.081127, y=0.106876, z=-0.059296 
t=24433 x=1.098451, y=0.025198, z=0.266737 
t=24443 x=1.057282, y=0.088748, z=-0.038392 
t=24453 x=1.067286, y=0.099169, z=0.016817 
t=24463 x=1.125333, y=0.110928, z=0.018030 
t=24473 x=1.205096, y=0.111513, z=0.035841 
t=24483 x=1.203287, y=0.099005, z=0.063254 
t=24493 x=1.206449, y=0.097761, z=0.021941 
t=24503 x=1.181341, y=0.159401, z=0.003444 
t=24513 x=1.179875, y=0.185929, z=-0.044152 
t=24523 x=1.156494, y=0.222799, z=-0.112792 
t=24533 x=1.134611, y=0.276455, z=-0.192173 
t=24543 x=1.087944, y=0.300998, z=-0.208256 
t=24553 x=1.037938, y=0.281463, z=-0.196899 
t=24563 x=1.024191, y=0.254229, z=-0.177743 
t=24573 x=1.056241, y=0.237682, z=-0.182434 
t=24583 x=1.053179, y=0.249885, z=-0.186662 
t=24593 x=1.044112, y=0.238735, z=-0.171581 
t=24603 x=1.066673, y=0.210448, z=-0.159295 
t=24613 x=1.120369, y=0.210210, z=-0.177754 
t=24623 x=1.138671, y=0.197824, z=-0.164822 
Block 1 ACC 
t=24633 x=1.140610, y=0.189123, z=-0.157556 
t=24643 x=1.139720, y=0.198713, z=-0.166222 
t=24653 x=1.132923, y=0.199232, z=-0.159233 
t=24663 x=1.114893, y=0.180742, z=-0.161456 
t=24673 x=1.100888, y=0.161632, z=-0.170364 
t=24683 x=1.064216, y=0.127370, z=-0.144760 
t=24693 x=1.017763, y=0.083803, z=-0.114251 
t=24703 x=0.994652, y=0.056250, z=-0.107691 
t=24714 x=0.961483, y=0.030947, z=-0.101708 
t=24723 x=0.917385, y=0.019024, z=-0.085133 
t=24733 x=0.879224, y=0.000109, z=-0.065458 
t=24743 x=0.883580, y=-0.033322, z=-0.043493 
t=24753 x=0.909156, y=-0.063749, z=0.010031 
t=24763 x=0.876248, y=-0.089345, z=0.063948 
t=24773 x=0.844955, y=-0.095741, z=0.073878 
t=24783 x=0.837038, y=-0.083846, z=0.086272 
t=24793 x=0.819062, y=-0.079860, z=0.115889 
t=24804 x=0.810170, y=-0.083542, z=0.138860 
t=24813 x=0.836843, y=-0.073269, z=0.148828 
t=24823 x=0.882687, y=-0.069034, z=0.158270 
t=24833 x=0.915974, y=-0.066706, z=0.167821 
t=24843 x=0.913645, y=-0.062330, z=0.180266 
t=24853 x=0.867099, y=-0.043661, z=0.198842 
t=24863 x=0.862664, y=-0.010862, z=0.154674 
t=24873 x=0.874134, y=0.034187, z=0.127694 
t=24883 x=0.855286, y=0.033493, z=0.164483 
t=24893 x=0.826894, y=0.008116, z=0.217016 
t=24903 x=0.831698, y=0.004286, z=0.251363 
t=24913 x=0.862091, y=0.025292, z=0.247607 
t=24923 x=0.899582, y=0.026988, z=0.267751 
t=24933 x=0.911141, y=0.020299, z=0.305815 
t=24943 x=0.922728, y=0.031610, z=0.314067 
t=24953 x=0.949147, y=0.046387, z=0.318560 
t=24963 x=0.987554, y=0.062338, z=0.281736 
t=24973 x=1.028243, y=0.110815, z=0.241601 
t=24983 x=1.044576, y=0.103303, z=0.249545 
t=24993 x=1.066186, y=0.072992, z=0.286861 
t=25003 x=1.081915, y=0.057131, z=0.307581 
t=25013 x=1.125844, y=0.041539, z=0.300058 
t=25023 x=1.154026, y=0.041687, z=0.291322 
t=25033 x=1.200525, y=0.052120, z=0.260399 
t=25043 x=1.223937, y=0.064658, z=0.246968 
t=25053 x=1.192675, y=0.066245, z=0.239717 
t=25063 x=1.135278, y=0.078133, z=0.210066 
t=25073 x=1.104176, y=0.110171, z=0.155091 
t=25083 x=1.097776, y=0.115245, z=0.133594 
